,Year,Race Name,Driver ID,Constructor Name,Grid Position,Final Position,Fastest Lap Time,Points,Status,Number of Laps,Lap,Duration,Weather,Temperature (°C),Humidity (%),Wind Speed (m/s),Rain (mm),Pit Stops
0,2024,Au,le,Fe,4.0,2.0,79.813,19.0,Finished,58.0,34.0,17.308,No rain,17.76,67,0.89,0.0,2
1,2019,Az,al,To,11.0,11.0,105.75399999999999,0.0,+1 Lap,50.0,12.0,20.720,Rain,4.97,75,12.35,0.0,1
2,2020,Br,ra,,,,,,DNF,,47.0,44.085,No rain,4.18,97,2.28,0.0,2
3,2022,Hu,sa,Fe,2.0,4.0,,12.0,Finished,70.0,17.0,22.820,No rain,1.26,70,3.09,0.0,1
4,2024,Au,ts,RB,8.0,7.0,81.134,6.0,Finished,58.0,36.0,17.535,No rain,17.76,67,0.89,0.0,2
5,2024,It,st,As,17.0,19.0,82.232,0.0,+1 Lap,52.0,50.0,25.269,Rain,5.0,87,0.45,1.0,3
6,2019,Hu,kv,To,13.0,15.0,81.932,0.0,+2 Laps,68.0,21.0,23.002,No rain,1.26,70,3.09,0.0,1
7,2021,Du,no,Mc,13.0,10.0,74.236,1.0,+1 Lap,71.0,42.0,20.443,No rain,1.59,88,3.6,0.0,1
8,2023,Sã,st,As,3.0,5.0,74.007,10.0,Finished,71.0,1.0,18.504,No rain,21.25,86,4.63,0.0,2
9,2022,Be,ri,Mc,7.0,15.0,113.08,0.0,Finished,44.0,12.0,23.085,Rain,-1.91,100,2.57,0.0,1
10,2021,Po,ve,As,10.0,13.0,82.416,0.0,+1 Lap,65.0,2.0,21.398,No rain,10.33,88,1.9,0.0,2
11,2023,Mi,le,Fe,7.0,7.0,91.434,6.0,Finished,57.0,17.0,22.068,No rain,22.99,64,8.23,0.0,1
12,2022,Be,st,As,9.0,11.0,112.88,0.0,Finished,44.0,26.0,23.349,Rain,-1.91,100,2.57,0.0,2
13,2021,Ru,le,Fe,19.0,15.0,98.994,0.0,+1 Lap,52.0,35.0,31.849,No rain,-0.89,51,7.0,0.0,1
14,2023,Du,sa,Fe,6.0,5.0,74.934,10.0,Finished,72.0,2.0,20.973,No rain,1.59,88,3.6,0.0,2
15,2021,Hu,ra,,,,,,DNF,,2.0,24:17.844,No rain,1.26,70,3.09,0.0,2
16,2021,Em,ma,,,,,,DNF,,27.0,29.809,Rain,4.34,96,2.91,1.33,2
17,2021,Hu,ve,As,10.0,20.0,81.459,0.0,DNF,70.0,3.0,40.882,No rain,1.26,70,3.09,0.0,2
18,2023,La,zh,Al,17.0,15.0,97.375,0.0,Finished,50.0,26.0,22.155,No rain,14.64,31,1.54,0.0,1
19,2020,Ab,ru,Wi,16.0,15.0,103.328,0.0,+1 Lap,54.0,10.0,22.085,No rain,21.1,68,2.06,0.0,1
20,2022,Em,ha,Me,14.0,13.0,81.419,0.0,+1 Lap,62.0,18.0,32.740,Rain,4.34,96,2.91,1.33,1
21,2023,La,al,As,9.0,9.0,96.559,2.0,Finished,50.0,26.0,23.214,No rain,14.64,31,1.54,0.0,2
22,2022,Sa,sa,Fe,3.0,3.0,91.905,15.0,Finished,50.0,16.0,21.521,No rain,26.03,53,2.06,0.0,1
23,2024,Be,sa,Wi,18.0,17.0,107.49000000000001,0.0,Finished,44.0,24.0,23.692,Rain,-1.91,100,2.57,0.0,2
24,2024,Ja,zh,Sa,20.0,18.0,97.16,0.0,DNF,12.0,7.0,23.910,No rain,7.84,72,6.85,0.0,3
25,2019,Fr,le,Fe,3.0,3.0,93.828,15.0,Finished,53.0,21.0,30.203,No rain,8.64,77,3.73,0.1,1
