Unnamed: 0,Year,Race Name,Driver ID,Constructor Name,Grid Position,Final Position,Fastest Lap Time,Points,Status,Number of Laps,Lap,Duration,Weather,Temperature (°C),Humidity (%),Wind Speed (m/s),Rain (mm),Pit Stops
15264,2022,Fr,sa,Fe,19.0,5.0,95.781,11.0,Finished,53.0,42.0,42.292,No rain,8.64,77,3.73,0.1,2
509,2024,Ba,ga,Al,20.0,18.0,94.805,0.0,+1 Lap,56.0,12.0,29.980,No rain,21.05,72,5.45,0.0,2
3410,2021,Qa,ra,,,,,,DNF,,30.0,25.633,No rain,20.97,72,3.43,0.0,2
10218,2022,Un,pe,,,,,,DNF,,14.0,23.403,Rain,17.84,85,3.09,0.0,1
15273,2022,Br,st,As,20.0,11.0,92.379,0.0,Finished,52.0,15.0,28.632,No rain,4.18,97,2.28,0.0,2
17239,2023,Ba,bo,Al,12.0,8.0,97.379,4.0,Finished,57.0,29.0,25.643,No rain,21.05,72,5.45,0.0,2
1533,2024,Sp,oc,Al,8.0,10.0,78.982,1.0,Finished,66.0,37.0,21.921,No rain,9.61,85,3.09,0.0,2
7100,2021,Qa,al,Al,3.0,3.0,86.682,15.0,Finished,57.0,23.0,25.991,No rain,20.97,72,3.43,0.0,1
14436,2022,Ja,le,Fe,2.0,3.0,104.489,15.0,Finished,28.0,7.0,25.899,No rain,7.84,72,6.85,0.0,2
10376,2023,Au,hu,,,,,,DNF,,2.0,16.778,No rain,-2.06,86,1.54,0.0,2
5714,2022,Un,la,Wi,17.0,17.0,103.485,0.0,Finished,56.0,5.0,25.321,Rain,17.84,85,3.09,0.0,2
12189,2022,Sp,ma,,,,,,DNF,,28.0,21.966,No rain,9.61,85,3.09,0.0,2
10441,2023,Si,pe,,,,,,DNF,,39.0,28.977,No rain,26.92,87,1.03,0.0,1
7277,2021,Ru,ts,Al,12.0,17.0,99.96,0.0,+1 Lap,52.0,13.0,30.112,No rain,-0.89,51,7.0,0.0,2
13460,2023,Ja,pi,Mc,2.0,3.0,96.328,15.0,Finished,53.0,13.0,24.455,No rain,7.84,72,6.85,0.0,1
6913,2022,Sp,al,Al,20.0,9.0,86.599,2.0,+1 Lap,65.0,10.0,22.375,No rain,9.61,85,3.09,0.0,2
5598,2023,Sa,ma,,,,,,DNF,,18.0,20.824,No rain,26.03,53,2.06,0.0,1
6817,2021,Br,ga,Al,11.0,11.0,90.266,0.0,Finished,52.0,2.0,34:27.244,No rain,4.18,97,2.28,0.0,1
14630,2023,Be,no,Mc,7.0,7.0,111.682,6.0,Finished,44.0,5.0,25.012,Rain,-1.91,100,2.57,0.0,2
5245,2023,Ca,ha,Me,3.0,3.0,75.396,15.0,Finished,70.0,12.0,24.339,No rain,-4.97,57,6.69,0.0,2
8889,2022,Az,al,Wi,17.0,12.0,107.966,0.0,+1 Lap,50.0,9.0,25.577,Rain,4.97,75,12.35,0.0,2
14634,2024,Ja,ke,,,,,,DNF,,1.0,26:24.630,No rain,7.84,72,6.85,0.0,1
8668,2023,Au,zh,Al,17.0,9.0,81.819,2.0,Finished,58.0,1.0,18.951,No rain,17.76,67,0.89,0.0,2
16955,2020,Ba,ru,Wi,14.0,12.0,95.042,0.0,+1 Lap,56.0,1.0,19:23.297,No rain,21.05,72,5.45,0.0,1
15447,2024,Hu,hu,,,,,,DNF,,29.0,22.472,No rain,1.26,70,3.09,0.0,2
932,2023,Hu,bo,Al,7.0,12.0,83.651,0.0,+1 Lap,69.0,9.0,22.114,No rain,1.26,70,3.09,0.0,2
8868,2020,Tu,ke,,,,,,DNF,,,,No rain,5.13,81,2.59,0.0,0
12706,2020,Br,le,Fe,4.0,3.0,89.813,15.0,Finished,52.0,13.0,29.520,No rain,4.18,97,2.28,0.0,1
4660,2023,Be,no,Mc,7.0,7.0,111.682,6.0,Finished,44.0,17.0,23.744,Rain,-1.91,100,2.57,0.0,2
6339,2022,Az,ma,,,,,,DNF,,18.0,21.468,Rain,4.97,75,12.35,0.0,2
936,2023,Sp,de,,,,,,DNF,,38.0,21.976,No rain,9.61,85,3.09,0.0,2
3484,2021,Qa,ra,,,,,,DNF,,10.0,26.174,No rain,20.97,72,3.43,0.0,2
12385,2019,Ge,ga,Re,4.0,14.0,77.495,0.0,DNF,61.0,3.0,29.667,No rain,0.22,86,0.0,0.0,1
12689,2021,Az,mi,,,,,,DNF,,44.0,21.587,Rain,4.97,75,12.35,0.0,3
14534,2021,Ru,ri,Mc,5.0,4.0,99.124,12.0,Finished,53.0,22.0,33.617,No rain,-0.89,51,7.0,0.0,2
993,2020,Ru,kv,Al,11.0,8.0,99.133,4.0,Finished,53.0,30.0,29.662,No rain,-0.89,51,7.0,0.0,1
3657,2024,Qa,sa,Fe,7.0,6.0,83.465,8.0,Finished,57.0,,,No rain,20.97,72,3.43,0.0,0
6831,2024,Mo,st,As,13.0,14.0,,0.0,+2 Laps,76.0,3.0,28.211,No rain,11.92,73,3.6,0.0,3
14518,2024,Mo,ha,Me,7.0,7.0,,7.0,Finished,78.0,1.0,39:35.369,No rain,11.92,73,3.6,0.0,2
1368,2024,Au,le,Fe,4.0,2.0,79.813,19.0,Finished,58.0,34.0,17.308,No rain,17.76,67,0.89,0.0,2
14922,2024,Sã,pi,Mc,8.0,8.0,81.532,4.0,Finished,69.0,27.0,26.050,No rain,21.25,86,4.63,0.0,2
8460,2020,Be,le,Fe,13.0,14.0,107.84,0.0,Finished,44.0,24.0,25.100,Rain,-1.91,100,2.57,0.0,2
8568,2022,Sa,al,Al,7.0,16.0,93.831,0.0,DNF,35.0,16.0,21.543,No rain,26.03,53,2.06,0.0,1
1547,2019,Ru,ru,Wi,17.0,17.0,101.705,0.0,DNF,27.0,27.0,29.857,No rain,-0.89,51,7.0,0.0,1
7770,2019,Fr,ve,Fe,7.0,5.0,92.74,11.0,Finished,53.0,51.0,30.468,No rain,8.64,77,3.73,0.1,2
2584,2022,Ab,ma,,,,,,DNF,,20.0,22.735,No rain,21.1,68,2.06,0.0,1
8122,2020,Ab,le,Fe,12.0,13.0,101.908,0.0,+1 Lap,54.0,22.0,22.178,No rain,21.1,68,2.06,0.0,1
11725,2022,Br,la,Wi,10.0,12.0,93.286,0.0,Finished,52.0,1.0,50:51.904,No rain,4.18,97,2.28,0.0,2
14532,2023,Hu,sa,Wi,20.0,18.0,83.496,0.0,DNF,67.0,34.0,22.197,No rain,1.26,70,3.09,0.0,2
8361,2019,Un,hu,,,,,,DNF,,27.0,24.245,Rain,17.84,85,3.09,0.0,2
16827,2021,St,ts,Al,11.0,10.0,69.65,1.0,+1 Lap,70.0,26.0,21.234,No rain,-2.06,86,1.54,0.0,1
13823,2022,Hu,pe,,,,,,DNF,,18.0,21.118,No rain,1.26,70,3.09,0.0,2
5478,2020,Au,la,Wi,20.0,11.0,69.662,0.0,Finished,71.0,51.0,21.918,No rain,-2.06,86,1.54,0.0,2
8213,2022,Ba,no,Mc,13.0,15.0,96.988,0.0,Finished,57.0,24.0,24.568,No rain,21.05,72,5.45,0.0,1
4032,2021,Az,ha,Me,2.0,15.0,104.769,0.0,Finished,51.0,47.0,15.432,Rain,4.97,75,12.35,0.0,2
353,2021,St,la,Wi,16.0,17.0,70.104,0.0,DNF,68.0,25.0,21.953,No rain,-2.06,86,1.54,0.0,2
12243,2023,Ja,al,Wi,13.0,16.0,99.185,0.0,DNF,26.0,1.0,50.143,No rain,7.84,72,6.85,0.0,2
17759,2020,Sa,kv,Al,6.0,7.0,,6.0,Finished,87.0,53.0,24.232,No rain,21.05,72,5.45,0.0,2
12301,2020,Br,ha,Me,1.0,1.0,89.238,25.0,Finished,52.0,13.0,28.805,No rain,4.18,97,2.28,0.0,1
5007,2024,Sã,oc,Al,4.0,2.0,81.771,18.0,Finished,69.0,32.0,23:28.695,No rain,21.25,86,4.63,0.0,1
4771,2023,Hu,al,As,8.0,9.0,82.745,2.0,Finished,70.0,43.0,24.152,No rain,1.26,70,3.09,0.0,2
1935,2023,Un,ma,,,,,,DNF,,16.0,23.756,Rain,17.84,85,3.09,0.0,2
803,2021,Fr,ma,,,,,,DNF,,32.0,30.123,No rain,8.64,77,3.73,0.1,2
13470,2019,Ch,gr,Ha,10.0,11.0,96.873,0.0,+1 Lap,55.0,35.0,23.520,No rain,2.99,75,4.0,0.0,2
9289,2022,Ab,ha,Me,5.0,18.0,89.788,0.0,DNF,55.0,18.0,21.270,No rain,21.1,68,2.06,0.0,1
17133,2023,Az,bo,Al,13.0,18.0,106.304,0.0,+1 Lap,50.0,12.0,22.354,Rain,4.97,75,12.35,0.0,3
16150,2022,Az,ru,Me,5.0,3.0,107.177,15.0,Finished,51.0,33.0,20.527,Rain,4.97,75,12.35,0.0,2
